"        35 to 39 years","13,198","±1,924","7.1%","±1.0","6,499","±1,205","7.2%","±1.3","6,699","±1,359","7.0%","±1.4","6,391","±875","7.6%","±1.0","3,729","±648","8.7%","±1.5","2,662","±647","6.5%","±1.6","4,439","±769","5.4%","±0.9","1,869","±591","4.6%","±1.5","2,570","±545","6.1%","±1.3","7,962","±1,394","7.3%","±1.3","4,180","±886","7.7%","±1.6","3,782","±781","6.8%","±1.4","4,644","±1,064","5.1%","±1.2","1,409","±581","3.2%","±1.3","3,235","±811","6.8%","±1.7","20,447","±1,930","8.0%","±0.8","10,105","±1,312","8.0%","±1.0","10,342","±1,198","8.0%","±0.9","5,067","±950","6.6%","±1.2","2,756","±653","7.1%","±1.7","2,311","±717","6.0%","±1.9","6,178","±1,177","5.9%","±1.1","3,107","±724","5.9%","±1.4","3,071","±767","5.8%","±1.4","19,036","±2,123","6.3%","±0.7","9,567","±1,308","6.5%","±0.9","9,469","±1,377","6.2%","±0.9","48,212","±3,034","6.7%","±0.4","24,810","±1,987","7.1%","±0.6","23,402","±2,147","6.3%","±0.6","8,648","±1,487","7.0%","±1.2","3,898","±922","6.5%","±1.5","4,750","±933","7.5%","±1.5","15,274","±1,564","6.7%","±0.7","6,788","±1,270","5.9%","±1.1","8,486","±1,167","7.5%","±1.0","8,152","±1,458","7.5%","±1.3","3,501","±849","6.5%","±1.6","4,651","±1,003","8.4%","±1.8","29,069","±2,658","7.1%","±0.6","15,405","±1,875","7.6%","±0.9","13,664","±1,449","6.6%","±0.7","4,931","±1,367","7.3%","±2.0","2,689","±828","7.8%","±2.4","2,242","±896","6.8%","±2.7","65,931","±3,632","6.6%","±0.4","31,863","±2,198","6.7%","±0.5","34,068","±2,594","6.5%","±0.5","23,365","±2,102","8.0%","±0.7","11,581","±1,566","8.1%","±1.1","11,784","±1,310","7.8%","±0.9"
"        40 to 44 years","9,684","±1,741","5.2%","±0.9","4,609","±1,166","5.1%","±1.3","5,075","±1,462","5.3%","±1.5","4,884","±959","5.8%","±1.1","2,273","±708","5.3%","±1.7","2,611","±587","6.3%","±1.4","5,835","±825","7.1%","±1.0","3,422","±666","8.5%","±1.6","2,413","±479","5.8%","±1.2","6,255","±1,381","5.7%","±1.3","3,010","±799","5.6%","±1.5","3,245","±955","5.8%","±1.7","7,795","±994","8.5%","±1.1","4,811","±585","11.0%","±1.3","2,984","±772","6.3%","±1.6","17,053","±2,125","6.7%","±0.8","8,444","±1,360","6.7%","±1.1","8,609","±1,271","6.7%","±1.0","5,561","±1,250","7.2%","±1.6","3,028","±904","7.8%","±2.3","2,533","±778","6.6%","±2.0","6,240","±1,093","5.9%","±1.0","3,131","±671","6.0%","±1.3","3,109","±752","5.9%","±1.4","17,839","±2,263","5.9%","±0.8","9,289","±1,384","6.3%","±0.9","8,550","±1,329","5.6%","±0.9","47,175","±2,950","6.6%","±0.4","21,965","±1,984","6.3%","±0.6","25,210","±2,165","6.8%","±0.6","7,193","±1,477","5.8%","±1.2","4,010","±927","6.7%","±1.5","3,183","±862","5.0%","±1.4","15,451","±1,634","6.8%","±0.7","8,519","±1,266","7.5%","±1.1","6,932","±1,217","6.1%","±1.1","7,988","±1,099","7.4%","±1.0","4,655","±831","8.7%","±1.5","3,333","±696","6.1%","±1.3","28,870","±2,639","7.0%","±0.6","14,060","±1,791","7.0%","±0.9","14,810","±1,459","7.1%","±0.7","4,675","±1,145","6.9%","±1.7","2,290","±850","6.6%","±2.4","2,385","±689","7.3%","±2.1","61,135","±3,621","6.1%","±0.4","29,467","±2,191","6.2%","±0.5","31,668","±2,592","6.1%","±0.5","18,907","±2,105","6.4%","±0.7","9,715","±1,478","6.8%","±1.0","9,192","±1,290","6.1%","±0.9"
"        45 to 49 years","9,904","±825","5.3%","±0.4","4,990","±731","5.5%","±0.8","4,914","±662","5.1%","±0.7","4,274","±234","5.1%","±0.3","2,334","±226","5.5%","±0.5","1,940","±60","4.7%","±0.2","4,137","±220","5.0%","±0.3","2,106","±188","5.2%","±0.5","2,031","±113","4.8%","±0.3","6,229","±497","5.7%","±0.5","2,920","±149","5.4%","±0.3","3,309","±438","5.9%","±0.8","5,651","±524","6.2%","±0.6","2,918","±493","6.7%","±1.1","2,733","±193","5.7%","±0.4","16,034","±1,291","6.3%","±0.5","8,032","±720","6.3%","±0.6","8,002","±858","6.2%","±0.7","4,447","±348","5.8%","±0.5","2,328","±179","6.0%","±0.4","2,119","±318","5.5%","±0.8","5,845","±202","5.6%","±0.2","2,896","±111","5.5%","±0.2","2,949","±179","5.6%","±0.3","16,457","±655","5.5%","±0.2","8,369","±627","5.7%","±0.4","8,088","±366","5.3%","±0.2","39,469","±414","5.5%","±0.1","19,433","±291","5.6%","±0.1","20,036","±297","5.4%","±0.1","7,188","±620","5.8%","±0.5","3,570","±377","6.0%","±0.6","3,618","±438","5.7%","±0.7","13,374","±255","5.9%","±0.1","6,779","±223","5.9%","±0.2","6,595","±94","5.8%","±0.1","6,763","±441","6.2%","±0.4","2,980","±171","5.6%","±0.3","3,783","±412","6.9%","±0.8","25,108","±808","6.1%","±0.2","12,681","±736","6.3%","±0.4","12,427","±392","6.0%","±0.2","4,367","±325","6.5%","±0.5","2,256","±119","6.5%","±0.4","2,111","±302","6.4%","±0.9","56,484","±407","5.7%","±0.1","26,526","±64","5.6%","±0.1","29,958","±394","5.8%","±0.1","15,646","±447","5.3%","±0.2","7,379","±249","5.2%","±0.2","8,267","±352","5.5%","±0.2"
"        50 to 54 years","9,261","±841","5.0%","±0.5","5,025","±808","5.6%","±0.9","4,236","±230","4.4%","±0.2","5,305","±585","6.3%","±0.7","2,757","±466","6.5%","±1.1","2,548","±361","6.2%","±0.9","4,395","±233","5.4%","±0.3","2,143","±126","5.3%","±0.3","2,252","±137","5.4%","±0.3","7,287","±522","6.6%","±0.5","3,922","±507","7.3%","±1.0","3,365","±308","6.0%","±0.6","5,576","±173","6.1%","±0.2","2,806","±80","6.4%","±0.2","2,770","±165","5.8%","±0.3","16,139","±924","6.3%","±0.4","7,959","±569","6.3%","±0.4","8,180","±743","6.3%","±0.6","4,442","±186","5.8%","±0.2","2,301","±162","5.9%","±0.4","2,141","±107","5.6%","±0.3","6,875","±166","6.5%","±0.2","3,466","±139","6.6%","±0.3","3,409","±89","6.5%","±0.2","17,295","±548","5.7%","±0.2","8,208","±365","5.6%","±0.3","9,087","±412","5.9%","±0.3","42,285","±377","5.9%","±0.1","21,181","±377","6.1%","±0.1","21,104","±81","5.7%","±0.1","6,890","±349","5.6%","±0.3","3,489","±310","5.8%","±0.5","3,401","±169","5.4%","±0.3","15,795","±468","6.9%","±0.2","7,862","±383","6.9%","±0.3","7,933","±384","7.0%","±0.3","7,548","±811","7.0%","±0.7","3,820","±580","7.1%","±1.1","3,728","±576","6.8%","±1.0","26,049","±504","6.4%","±0.1","12,722","±327","6.3%","±0.2","13,327","±362","6.4%","±0.2","4,398","±217","6.5%","±0.3","2,481","±217","7.2%","±0.6","1,917","±198","5.8%","±0.2","60,626","±416","6.1%","±0.1","28,995","±93","6.1%","±0.1","31,631","±420","6.1%","±0.1","16,314","±548","5.6%","±0.2","7,907","±313","5.5%","±0.2","8,407","±373","5.6%","±0.3"
"        55 to 59 years","8,186","±1,476","4.4%","±0.8","4,225","±1,062","4.7%","±1.2","3,961","±914","4.1%","±1.0","6,060","±955","7.2%","±1.1","3,596","±681","8.4%","±1.6","2,464","±592","6.0%","±1.4","4,722","±787","5.8%","±1.0","1,966","±471","4.9%","±1.2","2,756","±625","6.6%","±1.5","8,846","±1,081","8.1%","±1.0","4,710","±703","8.7%","±1.3","4,136","±652","7.4%","±1.2","5,882","±998","6.4%","±1.1","2,450","±674","5.6%","±1.5","3,432","±697","7.2%","±1.5","15,194","±1,540","5.9%","±0.6","6,847","±1,069","5.4%","±0.8","8,347","±1,138","6.5%","±0.9","4,875","±848","6.3%","±1.1","2,577","±561","6.7%","±1.4","2,298","±506","6.0%","±1.3","8,428","±1,228","8.0%","±1.2","4,460","±913","8.5%","±1.7","3,968","±813","7.5%","±1.5","17,722","±1,536","5.9%","±0.5","9,247","±1,051","6.3%","±0.7","8,475","±1,034","5.5%","±0.7","41,854","±2,510","5.8%","±0.4","19,247","±1,833","5.5%","±0.5","22,607","±1,786","6.1%","±0.5","7,109","±1,073","5.8%","±0.9","3,275","±733","5.5%","±1.2","3,834","±908","6.1%","±1.4","17,181","±1,834","7.5%","±0.8","8,376","±1,170","7.3%","±1.0","8,805","±1,097","7.8%","±1.0","6,861","±1,172","6.3%","±1.1","2,833","±689","5.3%","±1.3","4,028","±833","7.3%","±1.5","28,682","±2,140","7.0%","±0.5","13,850","±1,431","6.9%","±0.7","14,832","±1,305","7.1%","±0.6","4,705","±876","7.0%","±1.3","2,528","±743","7.3%","±2.1","2,177","±593","6.6%","±1.8","64,394","±3,450","6.5%","±0.3","30,961","±2,581","6.5%","±0.5","33,433","±2,195","6.4%","±0.4","18,118","±1,524","6.2%","±0.5","8,819","±1,036","6.2%","±0.7","9,299","±1,128","6.2%","±0.8"
"        60 to 64 years","11,572","±1,535","6.2%","±0.8","5,264","±1,045","5.8%","±1.1","6,308","±902","6.6%","±1.0","5,164","±957","6.2%","±1.1","2,099","±578","4.9%","±1.4","3,065","±600","7.4%","±1.5","5,281","±779","6.4%","±0.9","2,798","±498","7.0%","±1.2","2,483","±617","5.9%","±1.5","6,188","±1,026","5.6%","±0.9","2,862","±669","5.3%","±1.2","3,326","±700","6.0%","±1.2","6,176","±1,248","6.7%","±1.4","2,825","±669","6.4%","±1.5","3,351","±985","7.0%","±2.1","16,263","±1,487","6.4%","±0.6","8,569","±1,012","6.8%","±0.8","7,694","±1,158","6.0%","±0.9","5,117","±785","6.6%","±1.0","2,266","±527","5.8%","±1.4","2,851","±449","7.4%","±1.2","7,979","±1,238","7.6%","±1.2","3,927","±912","7.5%","±1.7","4,052","±806","7.7%","±1.5","17,293","±1,570","5.7%","±0.5","7,575","±1,068","5.1%","±0.7","9,718","±1,074","6.3%","±0.7","49,232","±2,510","6.9%","±0.4","24,587","±1,833","7.1%","±0.5","24,645","±1,786","6.7%","±0.5","7,487","±1,068","6.1%","±0.9","3,473","±807","5.8%","±1.4","4,014","±789","6.4%","±1.3","16,483","±1,845","7.2%","±0.8","8,456","±1,152","7.4%","±1.0","8,027","±1,106","7.1%","±1.0","6,787","±1,021","6.3%","±0.9","3,857","±725","7.2%","±1.3","2,930","±538","5.3%","±1.0","27,593","±2,131","6.7%","±0.5","13,836","±1,424","6.8%","±0.7","13,757","±1,288","6.6%","±0.6","4,596","±801","6.8%","±1.2","2,426","±565","7.0%","±1.7","2,170","±615","6.6%","±1.9","71,998","±3,435","7.2%","±0.3","33,329","±2,576","7.0%","±0.5","38,669","±2,199","7.4%","±0.4","19,380","±1,544","6.6%","±0.5","9,636","±1,037","6.7%","±0.7","9,744","±1,104","6.5%","±0.7"
"        65 to 69 years","8,980","±1,070","4.8%","±0.6","4,139","±770","4.6%","±0.9","4,841","±707","5.1%","±0.7","4,984","±724","5.9%","±0.9","2,526","±449","5.9%","±1.1","2,458","±452","6.0%","±1.1","4,789","±768","5.8%","±0.9","2,370","±457","5.9%","±1.1","2,419","±595","5.8%","±1.4","6,255","±804","5.7%","±0.7","2,907","±536","5.4%","±1.0","3,348","±560","6.0%","±1.0","4,874","±785","5.3%","±0.9","2,027","±438","4.6%","±1.0","2,847","±614","6.0%","±1.3","13,370","±1,352","5.2%","±0.5","5,958","±921","4.7%","±0.7","7,412","±906","5.8%","±0.7","4,686","±639","6.1%","±0.8","2,470","±405","6.4%","±1.0","2,216","±510","5.8%","±1.3","6,925","±901","6.6%","±0.9","3,098","±646","5.9%","±1.2","3,827","±648","7.3%","±1.2","16,038","±1,268","5.3%","±0.4","7,271","±866","4.9%","±0.6","8,767","±865","5.7%","±0.6","34,943","±2,092","4.9%","±0.3","15,789","±1,220","4.5%","±0.3","19,154","±1,504","5.2%","±0.4","6,176","±895","5.0%","±0.7","2,747","±687","4.6%","±1.1","3,429","±510","5.4%","±0.8","13,546","±1,361","5.9%","±0.6","6,838","±875","6.0%","±0.8","6,708","±866","5.9%","±0.8","5,166","±1,023","4.8%","±0.9","2,663","±643","5.0%","±1.2","2,503","±616","4.5%","±1.1","23,946","±1,691","5.8%","±0.4","11,821","±1,051","5.8%","±0.5","12,125","±1,103","5.8%","±0.5","3,797","±864","5.6%","±1.3","1,924","±487","5.6%","±1.4","1,873","±547","5.7%","±1.7","59,577","±2,769","6.0%","±0.3","27,538","±1,666","5.8%","±0.3","32,039","±1,925","6.2%","±0.4","16,733","±1,521","5.7%","±0.5","8,113","±882","5.7%","±0.6","8,620","±1,116","5.7%","±0.7"
"        70 to 74 years","6,776","±1,241","3.6%","±0.7","3,450","±830","3.8%","±0.9","3,326","±738","3.5%","±0.8","3,555","±660","4.2%","±0.8","1,395","±439","3.3%","±1.0","2,160","±385","5.2%","±0.9","3,711","±779","4.5%","±0.9","1,593","±462","4.0%","±1.1","2,118","±623","5.1%","±1.5","4,855","±865","4.4%","±0.8","2,283","±570","4.2%","±1.1","2,572","±566","4.6%","±1.0","4,501","±692","4.9%","±0.8","2,183","±441","5.0%","±1.0","2,318","±518","4.9%","±1.1","9,891","±1,168","3.9%","±0.5","4,510","±825","3.6%","±0.7","5,381","±788","4.2%","±0.6","3,772","±692","4.9%","±0.9","1,509","±400","3.9%","±1.0","2,263","±620","5.9%","±1.6","5,189","±918","4.9%","±0.9","2,621","±655","5.0%","±1.3","2,568","±627","4.9%","±1.2","13,930","±1,285","4.6%","±0.4","5,982","±831","4.1%","±0.6","7,948","±898","5.2%","±0.6","33,889","±2,265","4.7%","±0.3","16,060","±1,467","4.6%","±0.4","17,829","±1,522","4.8%","±0.4","5,581","±881","4.5%","±0.7","2,455","±666","4.1%","±1.1","3,126","±531","4.9%","±0.8","10,385","±1,323","4.6%","±0.6","4,380","±846","3.8%","±0.7","6,005","±891","5.3%","±0.8","5,310","±990","4.9%","±0.9","2,442","±603","4.6%","±1.1","2,868","±641","5.2%","±1.1","16,875","±1,676","4.1%","±0.4","7,197","±1,035","3.6%","±0.5","9,678","±1,209","4.7%","±0.6","3,263","±891","4.8%","±1.3","1,411","±468","4.1%","±1.4","1,852","±583","5.6%","±1.8","51,258","±2,774","5.1%","±0.3","22,302","±1,644","4.7%","±0.3","28,956","±1,959","5.6%","±0.4","11,901","±1,461","4.1%","±0.5","4,855","±854","3.4%","±0.6","7,046","±1,100","4.7%","±0.7"
"        75 to 79 years","4,201","±891","2.3%","±0.5","1,532","±453","1.7%","±0.5","2,669","±685","2.8%","±0.7","2,992","±449","3.6%","±0.5","1,440","±243","3.4%","±0.6","1,552","±429","3.8%","±1.1","1,915","±506","2.3%","±0.6","1,032","±326","2.6%","±0.8","883","±343","2.1%","±0.8","3,540","±799","3.2%","±0.7","1,926","±401","3.6%","±0.8","1,614","±569","2.9%","±1.0","2,147","±606","2.3%","±0.7","1,002","±338","2.3%","±0.8","1,145","±378","2.4%","±0.8","6,788","±991","2.7%","±0.4","3,207","±708","2.5%","±0.6","3,581","±749","2.8%","±0.6","2,040","±538","2.6%","±0.7","1,128","±379","2.9%","±1.0","912","±421","2.4%","±1.1","3,069","±671","2.9%","±0.6","1,642","±448","3.1%","±0.9","1,427","±397","2.7%","±0.8","9,677","±1,082","3.2%","±0.4","4,054","±625","2.8%","±0.4","5,623","±890","3.7%","±0.6","19,162","±1,730","2.7%","±0.2","8,195","±999","2.4%","±0.3","10,967","±1,058","3.0%","±0.3","3,894","±802","3.2%","±0.7","2,057","±507","3.4%","±0.8","1,837","±536","2.9%","±0.8","5,182","±1,020","2.3%","±0.4","1,836","±587","1.6%","±0.5","3,346","±683","2.9%","±0.6","3,343","±748","3.1%","±0.7","1,785","±367","3.3%","±0.7","1,558","±608","2.8%","±1.1","12,359","±1,249","3.0%","±0.3","5,027","±789","2.5%","±0.4","7,332","±806","3.5%","±0.4","1,957","±541","2.9%","±0.8","789","±368","2.3%","±1.1","1,168","±312","3.6%","±1.0","30,485","±2,448","3.1%","±0.2","13,192","±1,368","2.8%","±0.3","17,293","±1,715","3.3%","±0.3","6,551","±989","2.2%","±0.3","2,949","±518","2.1%","±0.4","3,602","±714","2.4%","±0.5"
"        80 to 84 years","2,480","±826","1.3%","±0.4","1,269","±448","1.4%","±0.5","1,211","±702","1.3%","±0.7","1,203","±390","1.4%","±0.5","440","±169","1.0%","±0.4","763","±401","1.9%","±1.0","1,823","±617","2.2%","±0.8","765","±363","1.9%","±0.9","1,058","±445","2.5%","±1.1","2,175","±549","2.0%","±0.5","809","±376","1.5%","±0.7","1,366","±424","2.5%","±0.8","1,980","±513","2.2%","±0.6","533","±263","1.2%","±0.6","1,447","±459","3.0%","±1.0","4,345","±1,037","1.7%","±0.4","1,827","±586","1.4%","±0.5","2,518","±717","2.0%","±0.6","1,689","±580","2.2%","±0.8","692","±382","1.8%","±1.0","997","±422","2.6%","±1.1","2,146","±692","2.0%","±0.7","774","±383","1.5%","±0.7","1,372","±528","2.6%","±1.0","5,466","±888","1.8%","±0.3","2,082","±589","1.4%","±0.4","3,384","±687","2.2%","±0.4","11,288","±1,677","1.6%","±0.2","4,592","±1,010","1.3%","±0.3","6,696","±1,130","1.8%","±0.3","2,140","±678","1.7%","±0.6","637","±337","1.1%","±0.6","1,503","±489","2.4%","±0.8","4,340","±816","1.9%","±0.4","2,105","±628","1.8%","±0.6","2,235","±586","2.0%","±0.5","1,458","±612","1.3%","±0.6","590","±361","1.1%","±0.7","868","±475","1.6%","±0.9","7,465","±1,024","1.8%","±0.2","3,497","±730","1.7%","±0.4","3,968","±675","1.9%","±0.3","1,328","±424","2.0%","±0.6","905","±367","2.6%","±1.1","423","±233","1.3%","±0.7","23,054","±2,128","2.3%","±0.2","8,801","±1,215","1.8%","±0.3","14,253","±1,492","2.7%","±0.3","3,526","±782","1.2%","±0.3","1,362","±556","1.0%","±0.4","2,164","±532","1.4%","±0.4"
"        85 years and over","2,301","±705","1.2%","±0.4","829","±355","0.9%","±0.4","1,472","±597","1.5%","±0.6","1,373","±412","1.6%","±0.5","335","±164","0.8%","±0.4","1,038","±360","2.5%","±0.9","1,921","±559","2.3%","±0.7","526","±267","1.3%","±0.7","1,395","±474","3.3%","±1.1","2,646","±852","2.4%","±0.8","771","±351","1.4%","±0.6","1,875","±626","3.4%","±1.1","1,498","±474","1.6%","±0.5","919","±378","2.1%","±0.9","579","±308","1.2%","±0.6","3,310","±735","1.3%","±0.3","1,199","±428","0.9%","±0.3","2,111","±641","1.6%","±0.5","1,416","±610","1.8%","±0.8","277","±234","0.7%","±0.6","1,139","±488","3.0%","±1.3","2,396","±639","2.3%","±0.6","729","±380","1.4%","±0.7","1,667","±435","3.2%","±0.8","6,040","±1,046","2.0%","±0.3","2,316","±533","1.6%","±0.4","3,724","±731","2.4%","±0.5","13,778","±1,643","1.9%","±0.2","4,800","±880","1.4%","±0.3","8,978","±1,150","2.4%","±0.3","1,929","±393","1.6%","±0.3","664","±272","1.1%","±0.5","1,265","±343","2.0%","±0.5","3,378","±866","1.5%","±0.4","1,605","±669","1.4%","±0.6","1,773","±461","1.6%","±0.4","1,555","±636","1.4%","±0.6","450","±256","0.8%","±0.5","1,105","±551","2.0%","±1.0","6,038","±1,147","1.5%","±0.3","2,344","±590","1.2%","±0.3","3,694","±786","1.8%","±0.4","1,382","±413","2.0%","±0.6","230","±236","0.7%","±0.7","1,152","±330","3.5%","±1.0","23,448","±2,208","2.4%","±0.2","8,443","±1,318","1.8%","±0.3","15,005","±1,576","2.9%","±0.3","5,284","±1,065","1.8%","±0.4","1,679","±560","1.2%","±0.4","3,605","±727","2.4%","±0.5"
"    SELECTED AGE CATEGORIES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        5 to 14 years","22,185","±963","11.9%","±0.5","11,367","±406","12.6%","±0.5","10,818","±849","11.3%","±0.8","10,998","±800","13.1%","±1.0","5,939","±768","13.9%","±1.6","5,059","±612","12.3%","±1.4","9,653","±392","11.8%","±0.5","5,215","±395","13.0%","±0.9","4,438","±330","10.6%","±0.8","15,138","±633","13.8%","±0.6","7,873","±508","14.6%","±0.8","7,265","±604","13.0%","±1.0","13,439","±549","14.7%","±0.6","6,629","±308","15.1%","±0.7","6,810","±352","14.3%","±0.8","34,825","±873","13.6%","±0.3","17,658","±400","13.9%","±0.3","17,167","±743","13.3%","±0.5","10,012","±578","13.0%","±0.7","4,954","±553","12.8%","±1.2","5,058","±580","13.2%","±1.3","13,476","±390","12.8%","±0.4","7,040","±322","13.4%","±0.6","6,436","±269","12.2%","±0.5","35,426","±418","11.8%","±0.1","18,572","±337","12.6%","±0.2","16,854","±480","11.0%","±0.3","94,159","±544","13.1%","±0.1","48,020","±319","13.8%","±0.1","46,139","±570","12.5%","±0.1","17,761","±490","14.4%","±0.4","9,125","±440","15.2%","±0.7","8,636","±449","13.7%","±0.7","29,282","±673","12.9%","±0.3","15,430","±547","13.5%","±0.4","13,852","±443","12.2%","±0.4","15,481","±341","14.3%","±0.3","7,747","±231","14.5%","±0.4","7,734","±198","14.0%","±0.3","53,728","*****","13.1%","*****","27,505","*****","13.6%","±0.1","26,223","*****","12.6%","±0.1","8,492","±238","12.6%","±0.4","4,024","±381","11.6%","±1.1","4,468","±431","13.6%","±1.3","124,485","±161","12.5%","±0.1","63,836","±131","13.4%","±0.1","60,649","±100","11.6%","±0.1","29,324","±497","10.0%","±0.2","15,309","±578","10.7%","±0.4","14,015","±541","9.3%","±0.3"
"        15 to 17 years","6,139","±845","3.3%","±0.5","3,424","±807","3.8%","±0.9","2,715","±364","2.8%","±0.4","2,775","±285","3.3%","±0.3","1,486","±237","3.5%","±0.5","1,289","±163","3.1%","±0.4","3,301","±266","4.0%","±0.3","1,626","±292","4.0%","±0.7","1,675","±419","4.0%","±1.0","4,879","±504","4.5%","±0.5","2,632","±413","4.9%","±0.7","2,247","±245","4.0%","±0.4","3,951","±313","4.3%","±0.3","2,056","±163","4.7%","±0.3","1,895","±232","4.0%","±0.5","10,554","±743","4.1%","±0.3","5,999","±825","4.7%","±0.6","4,555","±415","3.5%","±0.3","2,904","±394","3.8%","±0.5","1,250","±198","3.2%","±0.1","1,654","±394","4.3%","±1.0","4,185","±246","4.0%","±0.2","2,208","±214","4.2%","±0.4","1,977","±100","3.7%","±0.2","10,665","±364","3.5%","±0.1","5,441","±396","3.7%","±0.3","5,224","±488","3.4%","±0.3","28,432","±589","4.0%","±0.1","14,600","±470","4.2%","±0.1","13,832","±293","3.8%","±0.1","5,023","±404","4.1%","±0.3","2,649","±369","4.4%","±0.6","2,374","±282","3.8%","±0.5","9,267","±510","4.1%","±0.2","5,000","±466","4.4%","±0.4","4,267","±142","3.8%","±0.1","4,045","±280","3.7%","±0.3","2,090","±244","3.9%","±0.4","1,955","±239","3.5%","±0.4","17,151","*****","4.2%","*****","8,434","±263","4.2%","±0.1","8,717","±263","4.2%","±0.1","2,397","±198","3.5%","±0.2","1,178","±198","3.4%","±0.1","1,219","±198","3.7%","±0.1","39,477","±146","4.0%","±0.1","19,928","±81","4.2%","±0.1","19,549","±99","3.8%","±0.1","7,661","±364","2.6%","±0.1","4,031","±291","2.8%","±0.2","3,630","±209","2.4%","±0.1"
"        Under 18 years","38,205","*****","20.6%","*****","19,794","±1,019","21.9%","±0.9","18,411","±1,020","19.3%","±0.9","18,842","±400","22.5%","±0.5","9,946","±790","23.3%","±1.5","8,896","±855","21.6%","±1.7","17,613","*****","21.4%","*****","9,229","±578","23.0%","±1.1","8,384","±578","20.0%","±1.1","26,315","±343","24.0%","±0.3","13,550","±852","25.1%","±1.3","12,765","±821","22.9%","±1.2","22,757","±537","24.9%","±0.6","11,159","±369","25.4%","±0.7","11,598","±349","24.3%","±0.7","60,829","*****","23.8%","*****","31,781","±873","25.1%","±0.5","29,048","±874","22.5%","±0.5","17,172","±400","22.2%","±0.5","8,490","±854","21.9%","±1.7","8,682","±706","22.6%","±1.4","23,742","±226","22.6%","±0.2","12,349","±465","23.5%","±0.8","11,393","±460","21.6%","±0.8","62,476","*****","20.8%","*****","32,735","±786","22.2%","±0.4","29,741","±786","19.4%","±0.4","166,903","±286","23.3%","±0.1","85,210","±647","24.5%","±0.2","81,693","±483","22.2%","±0.1","30,411","*****","24.7%","*****","15,512","±679","25.9%","±0.8","14,899","±680","23.6%","±0.8","51,882","±44","22.8%","±0.1","26,895","±581","23.6%","±0.4","24,987","±589","22.0%","±0.4","25,427","±87","23.4%","±0.1","12,766","±379","23.9%","±0.6","12,661","±384","23.0%","±0.6","93,315","*****","22.8%","*****","46,866","±549","23.2%","±0.2","46,449","±549","22.4%","±0.2","14,331","±298","21.2%","±0.4","6,288","±791","18.1%","±1.9","8,043","±731","24.5%","±1.7","220,794","±134","22.1%","±0.1","112,718","±567","23.7%","±0.1","108,076","±581","20.8%","±0.1","54,023","±105","18.4%","±0.1","28,311","±679","19.8%","±0.4","25,712","±678","17.1%","±0.4"
